seniorcitizen,tenure,monthlycharges,gender_male,partner_yes,dependents_yes,phoneservice_yes,multiplelines_yes,internetservice_fiber_optic,internetservice_no,onlinesecurity_yes,onlinebackup_yes,deviceprotection_yes,techsupport_yes,streamingtv_yes,streamingmovies_yes,contract_one_year,contract_two_year,paperlessbilling_yes,paymentmethod_credit_card_(automatic),paymentmethod_electronic_check,paymentmethod_mailed_check,paymentmethod_credit_card
0,0.9953316158532686,0.3191046759139004,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0.0,0,0,
1,-0.9929940553506318,1.2036768884798852,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0.0,1,0,
0,0.14319204248016842,0.19013900753979449,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0.0,0,1,
0,-1.155306355040746,-1.4847612753187902,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,0.9953316158532686,-1.4649204032612353,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
0,-0.8712598305830461,-0.029763991098104747,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0,0,
0,0.3866604920153399,1.2169041365182554,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0.0,1,0,
0,-0.8712598305830461,-0.3703656280861287,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,
0,-0.8306817556605175,-1.3541422009398876,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0.0,0,0,
0,0.021457817712582688,0.8498480034534917,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0.0,1,0,
0,-0.9118379055055746,-0.6415242128727111,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-0.7089475308929317,1.335949368863584,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,0,0,
1,0.34608241709281135,1.1524213023312022,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0,1,0,
0,0.06203589263511127,-0.8068648133523344,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.0,1,0,
0,0.46781664186039706,-1.4847612753187902,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-0.30316678166764593,-0.3587917860525551,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,
1,-0.9929940553506318,1.1689553623791644,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1.0,0,0,
0,-1.277040579808332,0.1752583534966283,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,1.5634246647686687,0.6778937789546833,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0.0,1,0,
0,-0.18143255690006022,-1.1640005103883206,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,1,
1,-0.8306817556605175,0.47121802835515414,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0.0,1,0,
0,0.30550434217028277,-0.028110585093308608,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1.0,0,0,
0,-0.34374485659017456,0.04463927911772576,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0.0,0,1,
0,-0.9929940553506318,-1.1772277584266906,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.2388000653884401,0.31579786390430814,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1.0,0,0,
0,1.6040027396911973,-0.006616307030957384,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0.0,0,0,
0,0.5895508666279828,-1.49798852335716,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
0,-0.6683694559704032,0.3240648939282893,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,
0,0.30550434217028277,-1.5161759894099185,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-0.9929940553506318,-0.22321249365926385,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0.0,0,0,
1,-0.30316678166764593,0.8184332893623631,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0.0,1,0,
0,0.06203589263511127,0.8233935073767515,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0.0,1,0,
0,0.8330193161631543,-0.12731494538108237,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.0,1,0,
0,0.9953316158532686,-0.2050250276065054,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0.0,0,0,
0,0.06203589263511127,-1.4963351173523636,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.1982219904659115,0.5456212985709846,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1.0,0,0,
0,0.3866604920153399,-1.4748408392900125,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,
0,-1.155306355040746,0.5009793364414861,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0.0,1,0,
0,1.0359096907757972,1.4715286612568754,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0.0,0,0,
0,1.52284658984614,-1.2863525547432422,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1.0,0,0,
0,-0.6277913810478746,-0.3009225758846869,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1,
0,1.52284658984614,-0.2364397416976339,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0.0,0,0,
0,-1.277040579808332,-0.663018490935062,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,
1,0.5895508666279828,0.6795471849594795,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.0,0,1,
0,1.6040027396911973,-0.13227516339547102,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0.0,0,0,
0,-0.14085448197753164,-0.8415863394530553,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1.0,0,0,
1,-0.5872133061253461,1.2780801586957158,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1.0,0,0,
0,-1.277040579808332,-1.2979263967768155,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,
1,0.2243481923252256,0.9936943258707638,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1.0,0,0,
0,0.95475354093074,1.3838981430026749,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0.0,1,0,
0,-1.074150205195689,-0.5059449204794199,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0,
0,-1.277040579808332,-0.6415242128727111,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,-1.1147282801182177,0.6696267489307022,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.0,1,0,
0,0.3866604920153399,-1.038341654023807,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,0,1,
1,1.5634246647686687,0.7192289290745891,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0.0,0,0,
1,0.7924412412406258,1.4268866991273768,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1.0,0,0,
0,0.10261396755763985,1.4880627213048376,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0.0,1,0,
1,-0.7089475308929317,0.3058774278755308,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,
0,0.30550434217028277,-0.4662631763643102,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0.0,1,0,
0,1.6040027396911973,0.8233935073767515,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1.0,0,0,
0,-0.18143255690006022,0.8267003193863444,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0.0,1,0,
0,-0.8306817556605175,-1.469880621275624,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,-1.277040579808332,0.18187197751581333,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0.0,0,0,
0,-0.10027640705500306,0.6778937789546833,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0,
0,0.2243481923252256,-1.4847612753187902,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,-0.8306817556605175,0.8002458233096047,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0.0,1,0,
1,1.1170658406208545,0.9358251157028956,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0.0,1,0,
0,-0.7089475308929317,0.1206959553383524,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,
0,0.9141754660082114,-0.1901443735633392,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0.0,1,0,
0,1.4011123650785544,1.3458698048923616,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0.0,0,0,
0,0.8330193161631543,0.649785876873147,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0.0,1,0,
1,-0.4654790813577603,-0.7622228512228361,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,1,0,
0,-0.9118379055055746,-1.4880680873283825,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,0,
0,-1.277040579808332,0.8316605374007328,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,1.1982219904659115,1.1970632644607007,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0.0,0,0,
0,-1.277040579808332,0.21824690962133025,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,1.6040027396911973,0.6530926888827399,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0,0,
1,-0.6683694559704032,0.314144457899512,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,
0,-0.5466352312028174,0.7241891470889775,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0.0,1,0,
0,0.30550434217028277,1.3574436469259352,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0.0,0,0,
0,-0.7089475308929317,-1.4847612753187902,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
1,-0.30316678166764593,0.7936321992904196,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,1,0,
0,-0.7089475308929317,1.0168420099379112,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0.0,1,0,
0,1.3199562152334972,-1.4731874332852164,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1.0,0,0,
0,-0.9929940553506318,-0.34060431999979657,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,1,
1,-1.1147282801182177,0.462950998331173,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0,1,0,
0,1.3605342901560258,-0.47618361239308776,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0.0,0,0,
0,0.9141754660082114,0.8415809734295105,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1.0,0,0,
1,0.8735973910856829,1.6748975998468119,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0.0,0,0,
0,1.3199562152334972,0.8432343794343067,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0.0,0,1,
0,-1.277040579808332,-1.327687704863148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,
0,0.06203589263511127,-1.3194206748391668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,
0,-1.277040579808332,0.15376407543427706,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-1.155306355040746,0.46129759232637685,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0.0,0,1,
0,1.0359096907757972,-1.3111536448151857,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1.0,0,0,
0,-1.074150205195689,-0.4679165823691066,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0,0,
0,-1.277040579808332,1.2069837004894781,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0,1,0,
0,1.4011123650785544,-1.4583067792420503,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,0,
0,-0.8306817556605175,0.38524091610574973,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-0.9118379055055746,-1.327687704863148,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,
0,0.26492626724775414,1.157381520345591,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1.0,0,0,
0,1.2793781403109687,-1.327687704863148,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0.0,0,1,
0,-0.5466352312028174,0.654746094887536,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0.0,1,0,
0,-1.0335721302731604,-1.00196672191829,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,1,
0,1.5634246647686687,-1.329341110867944,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
0,-1.277040579808332,-0.7291547311269114,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-1.277040579808332,-1.307846832805593,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.1170658406208545,1.354136834916343,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,1,0,
0,-1.1147282801182177,-0.6663253029446546,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,0.183770117402697,-0.6464844308870997,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0.0,1,0,
0,-1.277040579808332,-1.450039749218069,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,-1.1958844299632747,0.1752583534966283,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
1,-0.059698332132474476,0.6580529068971283,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0.0,1,0,
0,-1.155306355040746,0.9903875138611715,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0.0,0,1,
0,-0.30316678166764593,0.370360262062584,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1.0,0,0,
0,-0.4654790813577603,0.013224565026597229,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.0,0,0,
